,key,item_type,pub_yr,author,title,pub_title,doi,url,study_included,model_code_available,reporting_guidelines_mention,covid,sim_software,foss_sim,model_archive,model_repo,model_journal_supp,model_journal_supp,model_personal_org,model_platform,available_on_req,excluded_reason
0,6CYNDDIL,journalArticle,2021,"Saidani, M.; Kim, H.",A Discrete Event Simulation-Based Model to Optimally Design and Dimension Mobile COVID-19 Saliva-Based Testing Stations,Simulation in healthcare : journal of the Society for Simulation in Healthcare,10.1097/SIH.0000000000000565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103682064&doi=10.1097%2fSIH.0000000000000565&partnerID=40&md5=63fdcafaae2c0ded012a4ae78e0d4ed7,1,1.0,None,1.0,AnyLogic,0,,,File,File,,,,
1,WJR7T7VY,book,2021,"Kenny, E.; Hassanzadeh, H.; Khanna, S.; Boyle, J.; Louise, S.",Patient flow simulation using historically informed synthetic data,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105514433&doi=10.3233%2fSHTI210007&partnerID=40&md5=9ab98ca32d16f6f823032c0dfa4d74b0,1,0.0,None,0.0,SimPy,1,,,,,,,,
2,5I2TEDRL,journalArticle,2021,"Olave-Rojas, D.; Nickel, S.",Modeling a pre-hospital emergency medical service using hybrid simulation and a machine learning approach,Simulation Modelling Practice and Theory,10.1016/j.simpat.2021.102302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101349627&doi=10.1016%2fj.simpat.2021.102302&partnerID=40&md5=da29ee5b7beade3d1f0026ff09214d49,1,0.0,None,0.0,AnyLogic,0,,,,,,,,
3,35AML5NV,journalArticle,2021,"Kern, C.; König, A.; Fu, D.J.; Schworm, B.; Wolf, A.; Priglinger, S.; Kortuem, K.U.",Big data simulations for capacity improvement in a general ophthalmology clinic,Graefe's Archive for Clinical and Experimental Ophthalmology,10.1007/s00417-020-05040-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098715108&doi=10.1007%2fs00417-020-05040-9&partnerID=40&md5=b170eb1d7ac4728716141d97b8a8749d,1,0.0,None,0.0,FlexSim,0,,,,,,,,
4,YVCU47A9,journalArticle,2021,"Lam, C.; Meinert, E.; Yang, A.; Cui, Z.",Comparison between centralized and decentralized supply chains of autologous chimeric antigen receptor T-cell therapies: a UK case study based on discrete event simulation,Cytotherapy,10.1016/j.jcyt.2020.08.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101870984&doi=10.1016%2fj.jcyt.2020.08.007&partnerID=40&md5=96e2bf61f5b531b1af4706bad58ff15a,1,0.0,None,0.0,ExtendSim,0,,,,,,,,
5,WMJMEPPR,journalArticle,2021,"Graves, J.; Garbett, S.; Zhou, Z.; Schildcrout, J.S.; Peterson, J.",Comparison of Decision Modeling Approaches for Health Technology and Policy Evaluation,Medical Decision Making,10.1177/0272989X21995805,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102768601&doi=10.1177%2f0272989X21995805&partnerID=40&md5=b07bf1a3ab0433a897dc9c09b1307268,1,1.0,None,0.0,R,1,,,PDF,PDF,,,,
6,UH6BQAL8,journalArticle,2021,"Montazeri, M.; Multmeier, J.; Novorol, C.; Upadhyay, S.; Wicks, P.; Gilbert, S.",Optimization of patient flow in urgent care centers using a digital tool for recording patient symptoms and history: Simulation study,JMIR Formative Research,10.2196/26402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106528583&doi=10.2196%2f26402&partnerID=40&md5=3b4bf3c5f4f532beb7c7aad3e49bb0d5,1,0.0,None,0.0,Simmer,1,,,,,,,,
7,DXIBPWGP,journalArticle,2021,"Stapelberg, N.J.C.; Smoll, N.R.; Randall, M.; Palipana, D.; Bui, B.; Macartney, K.; Khandaker, G.; Wattiaux, A.","A discrete-event, simulated social agent- based network transmission (DESSABNeT) model for communicable diseases: Method and validation using SARS-CoV-2 data in three large Australian cities",PLoS ONE,10.1371/journal.pone.0251737,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106365981&doi=10.1371%2fjournal.pone.0251737&partnerID=40&md5=835214d309be3ecbc799c2eb136aaa0b,1,1.0,None,1.0,MATLAB,0,,GitHub,,,,,,
8,6BA5IQ9R,conferencePaper,2021,"Massollar, J.; Garcia, A.C.B.",FenceBot: An Elderly Tracking App for Mitigating Health Risk Contacts,"Proceedings of the 2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design, CSCWD 2021",10.1109/CSCWD49262.2021.9437612,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107769574&doi=10.1109%2fCSCWD49262.2021.9437612&partnerID=40&md5=29cfbd08af6dd54f30de37c19b50ef21,1,0.0,None,1.0,Unknown,Unknown,,,,,,,,
9,KZ9FQ87Q,conferencePaper,2021,"Zhang, W.; Li, W.; Teng, S.; Liu, D.",A New Insight in Medical Resources Scheduling of Physical Examination with Adaptive Collaboration,"Proceedings of the 2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design, CSCWD 2021",10.1109/CSCWD49262.2021.9437670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107792707&doi=10.1109%2fCSCWD49262.2021.9437670&partnerID=40&md5=598330dffa803ebea49e2aa5bed5f5a0,1,0.0,None,0.0,C++,0,,,,,,,,
10,HF82XPBS,journalArticle,2021,"Reifsnider, O.S.; Kansal, A.R.; Gandhi, P.K.; Cragin, L.; Brand, S.B.; Pfarr, E.; Fahrbach, K.; Ustyugova, A.","Cost-effectiveness of empagliflozin versus canagliflozin, dapagliflozin, or standard of care in patients with type 2 diabetes and established cardiovascular disease",BMJ Open Diabetes Research and Care,10.1136/bmjdrc-2020-001313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105248874&doi=10.1136%2fbmjdrc-2020-001313&partnerID=40&md5=869a5da10b9ff7194b41958ec5402ffe,1,0.0,None,0.0,Excel,0,,,,,,,Yes,
11,3P4TMJFG,journalArticle,2021,"Warde, P.R.; Patel, S.; Ferreira, T.; Gershengorn, H.; Bhatia, M.C.; Parekh, D.; Manni, K.; Shukla, B.",Linking prediction models to government ordinances to support hospital operations during the COVID-19 pandemic,BMJ Health and Care Informatics,10.1136/bmjhci-2020-100248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105772177&doi=10.1136%2fbmjhci-2020-100248&partnerID=40&md5=886d93bb0cdc2c3a22630fb77d96a90a,1,0.0,None,1.0,Python,1,,,,,,,,
12,8KAJLBAD,journalArticle,2021,"Li, N.; Zhang, Y.; Teng, D.; Kong, N.",Pareto optimization for control agreement in patient referral coordination,Omega (United Kingdom),10.1016/j.omega.2020.102234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081210086&doi=10.1016%2fj.omega.2020.102234&partnerID=40&md5=c7944c75f23bfa80e6bd9d611a3c2898,1,0.0,None,0.0,Unknown,Unknown,,,,,,,,
13,TR8P54YH,journalArticle,2021,"Yemane, A.; Abrha, H.; Gidey, K.",Performance Measurement and Improvement of Healthcare Service Using Discrete Event Simulation in Bahir Dar Clinic,Journal of Optimization in Industrial Engineering,10.22094/JOIE.2020.1870857.1662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099095216&doi=10.22094%2fJOIE.2020.1870857.1662&partnerID=40&md5=74b0ff6c4b4afaa7f77a6b7f9ac1e78e,1,0.0,None,0.0,Arena,0,,,,,,,,
