,model_format,key,item_type,pub_yr,author,doi,reporting_guidelines_mention,covid,sim_software,foss_sim,model_archive,model_repo,model_journal_supp,model_personal_org,model_platform,github_url,model_has_doi,orcid,license,readme,link_to_paper,steps_run,formal_dep_mgt,informal_dep_mgt,evidence_testing,downloadable,interactive_online
0,CODE,WMJMEPPR,journalArticle,2021,"Graves, J.; Garbett, S.; Zhou, Z.; Schildcrout, J.S.; Peterson, J.",10.1177/0272989X21995805,,0,R,1,,,PDF,,,,1,1.0,Unknown,1,,0,0,0,0.0,1,0
1,CODE,WPD3VGWT,journalArticle,2021,"Kim, L.G.; Sweeting, M.J.; Armer, M.; Jacomelli, J.; Nasim, A.; Harrison, S.C.",10.1371/journal.pone.0253327,,1,R,1,,GitHub,,,,https://github.com/mikesweeting/AAA_DES_model,0,0.0,GPL-3,1,1.0,0,0,0,0.0,1,0
2,CODE,U9BBBXNT,conferencePaper,2021,"Bartz-Beielstein, T.; Dröscher, M.; Gür, A.; Hinterleitner, A.; Mersmann, O.; Peeva, D.; Reese, L.; Rehbach, N.; Rehbach, F.; Sen, A.; Subbotin, A.; Zaefferer, M.",10.1145/3449726.3459473,,1,R Simmer,1,,,,,CRAN,,0,0.0,GPL-3,1,0.0,1,1,0,0.0,1,0
3,CODE,2BN8M9ER,journalArticle,2021,"Albuquerque de Almeida, F.; Corro Ramos, I.; Rutten-van Mölken, M.; Al, M.",10.1016/j.jval.2021.04.004,,0,R,1,,GitHub,,,,https://github.com/fernandoalbuquerquealmeida/EWS_HF_DES_model,0,0.0,,0,0.0,0,0,0,0.0,1,0
4,CODE,LYPT7TSE,journalArticle,2021,"Kim, J.; Lim, H.; Ahn, J.-H.; Lee, K.H.; Lee, K.S.; Koo, K.C.",10.2196/32726,,1,R Simmer,1,,GitHub,,,,https://github.com/minkim88/Optimal-Triage-COVID-19,0,0.0,,1,0.0,0,0,1,0.0,1,0
5,CODE,DARBL4M7,journalArticle,2021,"Skarda, I.; Asaria, M.; Cookson, R.",10.34196/ijm.00228,,0,R,1,,GitHub,,,,https://github.com/ievask/lifesim-simulator,0,0.0,MIT,1,0.0,1,0,0,0.0,1,0
6,CODE,NCXN3267,conferencePaper,2021,"Bartz-Beielstein, T.; Dröscher, M.; Gür, A.; Hinterleitner, A.; Lawton, T.; Mersmann, O.; Peeva, D.; Reese, L.; Rehbach, N.; Rehbach, F.; Sen, A.; Subbotin, A.; Zaefferer, M.",10.1109/CEC45853.2021.9504732,,1,R Simmer,1,,,,,CRAN,,0,0.0,GPL-3,1,0.0,1,1,0,0.0,1,0
7,CODE,U9KXTM6D,journalArticle,2021,"Johnson, K.M.; Sadatsafavi, M.; Adibi, A.; Lynd, L.; Harrison, M.; Tavakoli, H.; Sin, D.D.; Bryan, S.",10.1007/s40258-020-00616-2,,0,R,1,,GitHub,,,,https://github.com/resplab/epicR,0,0.0,,1,1.0,1,1,1,1.0,1,0
8,CODE,ZPTLP6VG,journalArticle,2020,"Lim, C.Y.; Bohn, M.K.; Lippi, G.; Ferrari, M.; Loh, T.P.; Yuen, K.-Y.; Adeli, K.; Horvath, A.R.; for the IFCC Task Force on COVID-19",10.1016/j.clinbiochem.2020.09.003,,1,Python,1,,,Word doc,,,,0,0.0,,0,,0,0,0,,1,0
9,CODE,CMPZ94KD,journalArticle,2019,"Degeling, K.; Koffijberg, H.; Franken, M.D.; Koopman, M.; IJzerman, M.J.",10.1177/0272989X18814770,,0,R,1,,,,Organisational website,,,0,0.0,,1,1.0,0,0,0,0.0,1,0
