from_postcode,L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,L11,L110,L111,L112,L113,L114,L115,L116,L117,L118,L119,L12,L120,L121,L122,L123,L124,L125,L126,L127,L128,L129,L13,L130,L131,L132,L133,L134,L135,L136,L137,L138,L139,L14,L140,L141,L142,L143,L144,L145,L146,L147,L148,L149,L15,L150,L151,L152,L153,L154,L155,L156,L157,L158,L159,L16,L160,L161,L162,L163,L164,L165,L166,L167,L168,L169,L17,L170,L171,L172,L173,L174,L175,L176,L177,L178,L179,L18,L180,L181,L182,L183,L184,L185,L186,L187,L188,L189,L19,L190,L191,L192,L193,L194,L195,L196,L197,L198,L199,L2,L20,L200,L201,L202,L203,L204,L205,L206,L207,L208,L209,L21,L210,L211,L212,L213,L214,L215,L216,L217,L218,L219,L22,L220,L221,L222,L223,L224,L225,L226,L227,L228,L229,L23,L230,L231,L232,L233,L234,L235,L236,L237,L238,L239,L24,L240,L241,L242,L243,L244,L245,L246,L247,L248,L249,L25,L250,L251,L252,L253,L254,L255,L256,L257,L258,L259,L26,L260,L261,L262,L27,L28,L29,L3,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L4,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L5,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L6,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L7,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L8,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L9,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99
L1,0,99,101,40,101,46,81,99,78,86,118,103,95,50,65,40,75,123,49,50,51,59,96,99,78,63,75,48,41,140,139,154,74,85,105,59,48,153,100,38,71,135,34,100,49,135,91,3,58,63,128,46,84,131,64,56,11,78,125,66,66,24,55,103,60,70,105,83,49,66,50,133,145,143,46,155,143,3,84,61,10,58,73,59,36,55,51,95,26,78,121,96,34,31,54,53,48,41,55,71,119,95,153,61,68,15,151,144,109,120,66,70,43,46,153,56,40,56,66,71,81,14,48,96,68,48,58,98,66,66,58,64,60,69,70,73,29,66,201,71,144,78,68,59,29,48,66,71,61,105,141,103,40,39,14,61,74,73,100,70,48,75,80,101,8,109,89,98,59,134,81,44,75,74,101,60,35,136,95,61,68,68,101,65,25,54,15,135,90,99,80,60,63,151,71,49,50,93,70,58,23,59,28,94,99,33,153,8,46,46,51,63,9,83,76,88,48,65,64,40,94,106,100,5,94,69,43,139,150,61,96,56,95,46,75,90,65,20,74,61,99,73,10,155,149,51,49,134,123,45,50,134,148,141,106,5,25,24,19,79,69,118
L10,99,0,36,66,6,59,55,38,26,60,23,41,34,55,45,63,31,96,65,63,64,45,35,38,36,48,35,59,96,114,113,66,48,40,44,54,60,126,6,64,45,109,93,4,61,109,30,104,61,48,33,60,58,64,48,59,94,51,49,44,46,80,54,76,65,44,33,56,61,41,58,66,120,116,60,129,116,100,19,49,99,61,34,64,98,55,55,70,80,44,95,35,73,89,74,56,69,63,50,45,53,34,126,46,40,90,125,118,25,94,41,44,65,68,126,50,78,60,44,45,54,89,60,35,36,68,56,33,43,40,55,44,48,41,44,46,75,36,71,45,68,51,40,63,93,74,44,44,50,43,71,76,69,76,91,46,48,33,4,36,61,33,55,54,110,14,15,28,46,69,55,70,30,29,5,63,123,110,15,48,44,43,40,36,86,58,88,59,64,73,56,48,45,125,44,73,63,66,45,63,81,46,84,33,38,99,126,94,63,58,64,45,94,60,68,61,64,43,51,66,33,45,74,106,33,43,63,113,124,65,31,51,34,68,28,53,38,90,68,45,1,46,94,129,123,64,71,56,28,60,63,53,121,64,11,103,79,81,89,25,36,50
L100,100,36,0,68,31,60,48,69,53,53,31,73,65,56,45,64,50,85,66,64,65,46,10,69,30,49,50,60,123,103,101,56,36,60,75,55,61,115,41,65,40,98,94,34,63,98,61,105,80,49,34,61,51,34,58,80,95,76,28,44,44,81,55,65,66,38,13,49,63,45,59,35,109,105,61,118,105,101,44,49,100,63,36,65,115,56,56,59,81,64,85,66,74,90,94,58,70,64,51,39,89,65,115,48,45,91,114,108,18,83,46,38,66,69,115,51,98,61,49,35,79,90,61,66,43,88,58,4,45,45,56,45,49,43,41,40,76,41,38,39,46,40,45,64,105,75,45,41,51,8,44,64,70,96,93,48,38,35,39,45,63,50,48,29,111,39,31,20,48,36,48,71,50,49,36,83,131,99,53,49,45,44,71,40,88,59,89,38,36,56,88,49,46,114,39,101,64,55,41,64,83,48,85,64,6,118,115,95,64,59,65,46,95,80,99,50,65,44,69,68,64,76,58,108,64,41,64,101,114,66,6,53,65,69,50,28,43,91,96,46,35,36,95,118,111,65,73,36,25,61,64,38,110,44,34,104,80,83,90,44,43,20
L101,40,65,68,0,69,14,48,65,44,53,84,69,61,18,31,5,41,89,16,16,18,26,64,65,44,29,43,15,63,106,105,121,41,51,71,26,14,119,66,4,39,103,33,68,15,101,58,44,24,29,94,13,51,98,31,24,34,45,93,34,33,20,21,69,28,38,71,49,16,33,16,99,113,109,14,121,110,41,51,29,40,24,40,25,54,21,18,63,21,45,89,64,13,29,38,19,14,9,23,38,85,63,119,28,35,31,118,111,76,88,34,38,5,13,119,23,41,23,34,38,48,30,14,63,35,31,24,64,33,33,24,31,26,35,38,39,15,34,128,39,110,44,34,25,45,15,33,39,28,71,108,70,6,40,31,28,41,40,66,38,14,43,48,69,50,76,55,64,25,101,48,10,41,41,68,26,71,103,61,29,34,34,68,33,28,20,29,101,58,65,78,26,29,118,39,45,16,60,36,25,23,25,25,61,65,56,119,35,14,13,18,29,34,49,43,54,14,33,30,3,60,73,66,46,61,36,10,105,118,28,63,23,63,13,41,58,31,31,41,29,65,40,34,121,115,18,14,100,89,11,16,101,114,108,73,44,19,21,29,45,35,84
L102,103,8,31,69,0,61,58,40,29,63,24,44,36,58,48,66,34,99,69,65,66,49,30,40,34,51,39,61,100,116,115,68,51,43,46,58,63,129,13,66,49,113,95,6,64,111,33,106,64,51,34,63,61,64,50,63,96,55,50,46,49,83,56,79,68,48,34,59,64,44,61,66,123,119,64,131,120,104,21,51,103,65,35,66,100,58,59,73,84,48,99,39,75,91,76,59,73,66,54,48,60,38,129,50,43,94,128,121,25,98,44,48,68,71,129,53,80,64,46,48,58,91,63,38,40,70,59,28,45,43,58,46,50,45,46,49,78,40,60,49,69,54,43,66,95,78,46,46,53,35,71,80,71,79,94,49,51,33,10,40,64,35,58,48,113,15,16,23,49,70,59,73,33,33,10,65,125,113,24,50,46,46,43,39,90,60,91,59,68,75,59,50,48,128,46,75,65,70,48,65,85,50,88,36,29,103,129,98,65,60,66,48,96,63,71,64,66,46,54,69,36,48,76,109,36,45,65,115,128,69,26,54,38,70,30,48,41,94,71,48,6,50,96,131,125,66,74,58,28,63,65,54,124,65,13,105,81,84,91,29,39,51
L103,48,59,61,14,63,0,41,59,38,46,78,63,55,11,25,11,35,83,9,5,6,20,58,59,38,23,36,9,70,100,99,115,35,45,65,20,3,113,60,13,33,95,40,61,4,95,51,51,28,23,88,4,45,91,25,26,41,48,85,28,26,29,15,63,21,31,65,43,5,26,10,93,106,103,6,115,104,49,45,23,48,18,34,19,61,15,11,56,29,50,83,58,20,38,41,13,18,11,16,31,79,56,113,21,29,39,111,105,70,81,28,31,13,16,113,16,45,16,28,31,50,38,3,56,29,35,18,58,26,26,18,25,20,29,30,33,23,28,114,33,104,38,28,19,53,23,26,31,21,65,101,64,16,44,39,21,35,34,60,31,3,36,41,61,58,70,49,58,19,95,41,19,35,35,61,30,79,96,55,23,28,28,61,26,35,14,36,95,51,59,78,20,23,111,33,48,6,54,30,19,30,19,33,55,59,64,113,43,5,6,8,23,43,53,46,48,8,26,24,15,54,66,60,54,55,29,13,99,111,21,56,16,56,16,35,51,25,39,44,23,59,34,41,115,109,8,19,94,83,8,5,95,108,101,66,51,28,30,36,39,29,78
L104,83,55,48,49,59,41,0,55,34,10,74,59,51,38,23,46,31,48,49,45,46,29,44,55,24,28,31,41,105,36,64,101,15,41,61,38,43,73,56,46,20,51,75,56,44,49,48,86,61,28,73,43,8,78,39,61,76,58,71,23,21,63,36,29,48,13,51,5,44,23,41,79,71,68,44,80,53,83,41,26,81,44,23,46,96,38,38,24,63,46,48,54,55,71,76,39,51,46,34,16,75,51,76,30,26,74,83,70,56,45,29,18,48,51,78,33,80,44,30,14,60,71,43,53,24,70,39,44,23,24,38,25,29,20,20,18,58,23,56,18,90,23,23,45,88,58,24,23,33,51,88,35,51,78,74,29,14,23,56,26,44,33,4,49,93,65,43,44,29,81,4,53,31,31,58,64,114,51,51,26,23,21,58,23,70,40,71,81,38,31,74,28,26,75,20,83,45,26,19,45,65,30,68,51,45,99,78,78,45,40,46,28,76,61,80,18,46,26,51,49,50,63,34,89,50,19,45,59,75,48,43,34,51,50,31,38,25,73,79,28,55,15,76,80,74,46,54,80,64,43,45,81,73,88,63,85,61,64,71,35,25,64
L105,99,38,69,65,41,59,54,0,30,60,56,19,20,54,44,63,34,96,65,61,63,45,70,15,50,48,35,58,64,113,111,104,48,39,8,54,59,125,39,63,45,109,91,39,60,108,15,103,50,48,66,59,58,98,46,51,93,21,83,44,45,79,53,75,64,44,66,55,60,40,58,100,119,115,60,128,116,100,30,48,99,61,45,63,64,55,55,69,80,44,95,14,71,88,53,55,69,63,50,44,29,11,125,46,39,90,124,118,59,94,40,44,64,68,125,49,56,60,43,44,21,89,59,13,36,55,55,65,41,39,54,43,48,41,43,45,74,36,148,45,101,50,39,63,69,74,43,43,49,73,104,76,68,55,90,45,48,46,39,36,60,31,54,75,105,48,41,60,45,103,55,69,30,29,40,50,89,109,34,46,43,43,6,35,86,58,88,93,64,71,23,46,44,124,43,39,61,66,44,61,81,46,84,13,66,66,125,94,61,56,63,44,93,23,35,60,63,43,50,66,15,23,74,105,15,41,63,111,124,65,64,50,11,68,35,64,38,90,35,44,38,46,93,128,121,63,70,90,61,59,61,86,120,98,45,101,78,80,88,35,35,84
L106,78,25,53,44,29,36,33,29,0,38,44,33,25,33,23,41,9,74,43,40,41,24,49,29,29,25,10,36,89,91,90,88,25,18,35,33,38,104,26,41,24,86,70,28,39,86,23,81,39,26,54,38,35,85,25,38,71,34,70,21,24,58,31,54,43,23,55,34,39,19,36,88,98,94,39,106,94,78,11,26,76,39,24,41,74,33,33,48,58,21,74,28,50,66,51,34,46,41,29,23,49,26,104,24,18,68,103,96,46,71,19,23,43,45,104,28,55,38,21,23,36,66,38,26,14,45,34,49,20,18,33,21,25,19,21,24,53,14,70,23,89,29,18,40,70,53,21,21,28,56,93,54,46,54,69,24,26,25,26,14,39,10,33,53,88,36,15,39,24,90,33,48,5,6,28,40,109,88,21,25,21,20,31,14,64,35,66,80,43,50,48,25,23,103,21,59,40,44,23,40,60,24,61,25,50,80,104,71,40,35,41,23,71,38,50,39,41,20,29,44,25,36,51,84,25,20,40,90,103,43,48,29,26,45,5,43,15,68,54,23,25,24,71,106,100,41,49,79,49,38,40,75,99,85,33,80,56,59,66,5,14,71
L107,88,60,53,54,64,48,10,60,39,0,79,64,56,44,28,51,36,48,54,50,51,34,49,60,29,33,38,48,110,65,64,106,21,48,66,43,48,58,63,51,25,36,80,63,49,59,54,91,68,33,78,49,4,83,44,66,81,63,78,28,26,69,43,29,54,18,56,6,50,29,46,85,56,68,49,60,68,89,46,31,88,50,28,51,101,44,44,24,69,51,46,59,60,78,81,45,58,51,39,21,80,58,60,35,33,79,66,60,61,45,34,23,53,56,58,38,85,49,36,20,65,78,48,58,30,75,44,50,29,29,44,30,34,25,25,24,63,29,71,23,96,28,28,51,93,63,29,29,38,56,93,35,56,84,79,35,19,28,63,33,49,38,8,54,98,71,48,50,34,86,9,59,36,36,63,70,119,36,56,33,28,28,63,28,75,46,76,86,43,31,79,34,31,59,25,88,50,26,24,50,70,35,73,56,50,104,78,83,50,45,51,33,83,68,86,16,53,31,56,55,56,68,34,94,56,24,51,45,53,54,48,40,58,56,38,43,30,79,84,33,61,20,81,80,74,53,59,85,70,48,50,86,73,93,68,91,68,70,76,40,30,69
