from_postcode,PO229PP,PO63LY,PO91TR,RG216YH,SO403ZN,SO410PG,SO534DG,SP28BJ
L1,14,47,37,95,71,102,67,97
L10,88,58,63,35,45,76,37,36
L100,89,60,64,66,36,64,42,10
L101,30,14,4,62,37,69,33,63
L102,92,61,66,37,47,79,41,30
L103,37,9,11,56,31,63,27,57
L104,72,41,46,52,14,30,24,43
L105,88,58,62,12,43,76,37,71
L106,67,36,41,27,22,53,16,48
L107,77,47,51,58,20,29,29,50
L108,107,76,81,52,62,86,56,31
L109,91,61,66,7,47,78,40,73
L11,84,53,58,11,40,71,33,66
L110,41,11,15,52,26,58,24,53
L111,55,25,30,41,11,42,12,41
L112,30,7,4,60,35,66,31,61
L113,63,33,38,31,20,51,14,46
L114,112,82,87,93,55,37,64,82
L115,38,14,14,62,37,68,33,63
L116,40,11,14,58,33,66,30,60
L117,41,12,15,60,35,67,31,61
L118,48,19,22,42,16,48,12,43
L119,86,56,60,67,32,61,38,4
L12,88,57,62,5,43,74,37,69
L120,66,36,41,47,12,41,19,27
L121,52,21,26,43,16,47,15,46
L122,64,35,38,32,20,52,14,47
L123,37,5,11,56,31,62,27,57
L124,46,69,60,71,93,124,89,119
L125,130,100,104,110,73,56,82,99
L126,129,99,103,109,72,55,81,98
L127,143,113,117,100,89,118,94,63
L128,63,33,37,45,6,35,15,32
L129,74,43,48,37,30,61,24,56
L13,94,63,68,19,50,82,43,76
L130,48,19,24,51,25,57,21,52
L131,37,9,11,56,31,62,27,57
L132,143,112,117,123,86,67,94,112
L133,89,60,63,36,46,77,38,40
L134,27,11,1,60,35,67,31,62
L135,62,31,36,42,7,40,14,36
L136,125,95,99,105,68,51,77,94
L137,24,40,30,88,63,94,60,89
L138,91,60,64,36,46,77,40,33
L139,38,10,12,57,32,63,29,58
L14,124,94,99,105,68,50,77,94
L140,81,51,55,7,36,68,30,63
L141,14,50,41,99,74,105,71,100
L142,46,26,20,48,50,81,46,76
L143,52,21,26,43,16,47,15,46
L144,117,87,92,63,61,89,66,36
L145,36,6,10,56,31,63,27,58
L146,74,45,48,56,17,27,27,47
L147,120,89,94,94,66,92,72,41
L148,53,22,27,46,27,60,24,55
L149,46,26,20,48,50,81,46,76
L15,5,40,31,89,63,95,61,91
L150,68,48,42,26,46,78,40,72
L151,114,84,88,78,61,89,66,35
L152,57,26,31,41,10,42,12,41
L153,56,26,30,42,10,41,14,40
L154,14,27,17,77,51,83,47,78
L155,45,15,19,50,25,57,21,51
L156,92,62,66,72,35,4,43,56
L157,51,20,25,61,36,68,32,62
L158,60,30,35,41,2,32,12,35
L159,93,63,67,63,40,68,46,14
L16,73,42,47,53,15,29,25,45
L160,38,10,12,58,32,64,29,60
L161,56,26,30,37,11,43,9,41
L162,40,9,14,55,30,61,26,56
L163,122,91,95,97,67,88,73,42
L164,135,105,109,115,78,61,87,104
L165,131,102,107,113,74,57,84,102
L166,37,7,11,58,32,64,29,60
L167,145,114,119,125,88,69,97,114
L168,133,102,107,113,76,57,84,102
L169,15,51,42,100,76,107,72,102
L17,74,43,48,29,30,61,24,43
L170,52,21,26,46,15,47,17,45
L171,20,46,37,95,69,102,66,97
L172,47,16,21,57,32,64,29,58
L173,62,32,36,43,11,42,9,32
L174,48,19,22,60,35,66,31,61
L175,40,61,51,71,84,115,81,110
L176,45,15,19,52,26,58,22,53
L177,41,11,15,52,26,58,24,53
L178,86,55,60,66,29,9,37,55
L179,15,27,17,76,51,83,47,78
L18,67,48,41,41,33,66,27,61
L180,112,81,86,92,55,36,63,81
L181,86,56,60,2,41,73,35,68
L182,24,20,10,68,43,74,40,69
L183,22,36,26,84,60,92,56,86
L184,62,41,36,60,64,97,62,92
L185,41,11,15,52,27,58,24,53
L186,37,12,11,66,40,72,37,67
L187,32,11,6,61,35,67,32,62
L188,46,15,20,47,22,53,19,48
L189,61,30,35,41,5,37,12,35
L19,107,77,82,24,63,94,56,89
L190,84,55,60,9,41,72,33,67
L191,143,112,117,123,86,67,94,112
L192,51,21,25,42,17,50,14,43
L193,57,26,31,36,15,47,9,41
L194,7,37,29,87,61,93,58,88
L195,140,110,115,122,84,66,93,110
L196,134,104,108,114,77,60,86,103
L197,98,68,72,56,45,73,50,19
L198,110,79,84,91,53,35,62,79
L199,56,26,31,37,16,48,10,43
L2,61,30,35,41,6,38,12,35
L20,32,9,6,61,35,67,32,62
L200,36,12,10,64,40,71,36,66
L201,141,112,115,123,84,67,93,112
L202,46,16,20,46,21,52,17,47
L203,31,43,38,62,67,99,64,94
L204,46,16,20,57,31,63,29,58
L205,56,25,30,40,19,51,12,45
L206,61,30,35,41,1,35,12,32
L207,72,51,46,29,48,81,42,74
L208,2,36,26,86,60,92,56,87
L209,37,9,11,56,31,62,27,57
L21,86,56,60,4,41,73,35,68
L210,60,30,33,33,14,45,2,40
L211,36,33,29,52,57,89,55,84
L212,47,16,21,52,27,58,24,53
L213,87,57,61,62,32,62,38,7
L214,56,26,30,38,12,43,10,41
L215,56,26,30,36,12,46,7,41
L216,48,17,22,51,26,57,22,52
L217,53,24,29,40,14,46,11,41
L218,50,19,24,43,19,51,15,45
L219,58,29,32,38,9,41,10,38
L22,60,30,35,40,9,40,11,38
L220,62,32,36,41,6,38,12,37
L221,19,22,12,71,46,77,42,72
L222,56,26,30,33,11,43,5,37
L223,180,110,125,126,37,74,50,25
L224,62,32,36,43,6,38,14,37
L225,133,103,107,97,79,108,84,53
L226,67,37,41,47,14,27,19,36
L227,57,26,31,35,11,46,6,41
L228,48,19,22,60,33,66,30,61
L229,30,51,42,76,74,107,72,102
L23,38,21,12,71,46,77,42,72
L230,56,26,30,40,12,45,11,41
L231,61,31,36,40,11,43,7,38
L232,51,21,25,46,21,52,17,47
L233,94,63,68,73,40,69,46,15
L234,130,99,104,100,76,97,82,51
L235,91,61,64,71,33,9,42,57
L236,30,16,6,64,40,71,36,66
L237,31,42,36,61,66,97,62,92
L238,2,37,29,87,61,93,57,88
L239,51,20,25,42,17,48,14,43
L24,63,33,38,45,5,35,16,33
L240,62,32,36,43,11,40,15,31
