,capacity_1,capacity_2,capacity_3,capacity_4
0,1314.0,862.0,702.0,631.0
1,1262.0,800.0,682.0,596.0
2,1706.0,1099.0,901.0,796.0
3,1620.0,1030.0,761.0,685.0
4,980.0,609.0,555.0,493.0
5,1434.0,930.0,770.0,720.0
6,1202.0,718.0,617.0,556.0
7,1420.0,914.0,689.0,630.0
8,1350.0,884.0,763.0,678.0
9,1238.0,786.0,646.0,572.0
10,1400.0,815.0,640.0,589.0
11,1314.0,814.0,652.0,565.0
12,1298.0,883.0,737.0,667.0
13,1576.0,978.0,800.0,683.0
14,1204.0,732.0,608.0,516.0
15,1132.0,725.0,604.0,538.0
16,1398.0,885.0,674.0,606.0
17,906.0,587.0,499.0,443.0
18,1372.0,918.0,762.0,683.0
19,1068.0,692.0,561.0,511.0
20,1052.0,666.0,571.0,519.0
21,1186.0,756.0,622.0,530.0
22,1576.0,989.0,815.0,733.0
23,1186.0,749.0,631.0,541.0
24,1618.0,1007.0,819.0,748.0
25,1172.0,739.0,619.0,556.0
26,1512.0,973.0,768.0,695.0
27,1088.0,676.0,537.0,467.0
28,1234.0,794.0,673.0,614.0
29,1152.0,725.0,612.0,526.0
30,1242.0,840.0,678.0,610.0
31,1260.0,826.0,650.0,579.0
32,940.0,562.0,433.0,411.0
33,1236.0,759.0,628.0,547.0
34,1298.0,807.0,644.0,585.0
35,1138.0,756.0,638.0,575.0
36,1292.0,813.0,677.0,615.0
37,1298.0,813.0,673.0,595.0
38,1000.0,641.0,548.0,485.0
39,1022.0,685.0,548.0,487.0
40,908.0,584.0,456.0,436.0
41,1232.0,768.0,670.0,577.0
42,936.0,625.0,541.0,488.0
43,1346.0,843.0,721.0,664.0
44,1154.0,735.0,592.0,541.0
45,1422.0,858.0,654.0,563.0
46,1470.0,899.0,719.0,654.0
47,1104.0,697.0,550.0,502.0
48,1450.0,903.0,698.0,601.0
49,1424.0,898.0,712.0,625.0
50,932.0,587.0,485.0,442.0
51,1442.0,930.0,750.0,686.0
52,1550.0,951.0,795.0,691.0
53,1326.0,836.0,650.0,593.0
54,1588.0,1031.0,852.0,744.0
55,1290.0,777.0,650.0,550.0
56,1516.0,933.0,714.0,656.0
57,1150.0,772.0,662.0,590.0
58,1376.0,887.0,701.0,660.0
59,1250.0,773.0,615.0,557.0
60,1302.0,861.0,757.0,650.0
61,1180.0,721.0,607.0,528.0
62,1080.0,709.0,582.0,543.0
63,1236.0,787.0,678.0,562.0
64,1218.0,773.0,609.0,535.0
65,1350.0,881.0,736.0,658.0
66,1490.0,975.0,817.0,723.0
67,956.0,599.0,497.0,447.0
68,1168.0,711.0,570.0,508.0
69,1020.0,616.0,529.0,446.0
70,1604.0,993.0,796.0,701.0
71,1226.0,792.0,668.0,591.0
72,1208.0,769.0,597.0,535.0
73,1290.0,836.0,701.0,636.0
74,1370.0,824.0,640.0,525.0
75,1328.0,863.0,683.0,616.0
76,1166.0,763.0,582.0,536.0
77,1260.0,825.0,667.0,633.0
78,1418.0,913.0,780.0,693.0
79,1084.0,693.0,575.0,503.0
80,1386.0,859.0,670.0,566.0
81,1248.0,750.0,617.0,517.0
82,1042.0,701.0,580.0,540.0
83,1202.0,742.0,588.0,520.0
84,944.0,653.0,578.0,522.0
85,1028.0,679.0,575.0,542.0
86,1136.0,732.0,562.0,513.0
87,1282.0,813.0,634.0,580.0
88,1416.0,908.0,685.0,628.0
89,1414.0,920.0,731.0,659.0
