,capacity_1,capacity_2,capacity_3,capacity_4
0,3666,2183.0,1865.0,1654.0
1,2404,1429.0,1129.0,1072.0
2,3340,1977.0,1630.0,1594.0
3,1874,1236.0,1039.0,1034.0
4,2684,1707.0,1519.0,1528.0
5,2980,1804.0,1603.0,1407.0
6,2640,1522.0,1370.0,1197.0
7,2062,1272.0,1099.0,972.0
8,2870,1721.0,1540.0,1268.0
9,2372,1447.0,1301.0,1202.0
10,2514,1475.0,1295.0,1232.0
11,2746,1621.0,1543.0,1418.0
12,3042,1826.0,1464.0,1422.0
13,2754,1605.0,1399.0,1375.0
14,2366,1499.0,1374.0,1361.0
15,2390,1491.0,1243.0,1050.0
16,2308,1378.0,1181.0,1083.0
17,2276,1396.0,1215.0,1093.0
18,2900,1721.0,1668.0,1521.0
19,2428,1459.0,1348.0,1184.0
20,2750,1694.0,1440.0,1361.0
21,2416,1436.0,1238.0,1249.0
22,1514,976.0,898.0,801.0
23,2318,1462.0,1328.0,1200.0
24,2396,1464.0,1364.0,1320.0
25,2148,1317.0,1245.0,1107.0
26,2186,1337.0,1145.0,1027.0
27,1686,1048.0,973.0,959.0
28,2070,1227.0,1131.0,1026.0
29,2412,1463.0,1279.0,1136.0
30,2150,1302.0,1124.0,1015.0
31,2714,1673.0,1435.0,1283.0
32,2706,1627.0,1373.0,1318.0
33,2330,1487.0,1316.0,1220.0
34,2260,1378.0,1197.0,1145.0
35,2244,1361.0,1282.0,1200.0
36,2434,1468.0,1198.0,1163.0
37,1754,1095.0,1041.0,1029.0
38,2686,1607.0,1365.0,1256.0
39,2364,1420.0,1340.0,1312.0
40,2562,1601.0,1317.0,1160.0
41,2122,1303.0,1095.0,1022.0
42,2362,1382.0,1232.0,1161.0
43,2496,1442.0,1264.0,1090.0
44,2510,1468.0,1323.0,1287.0
45,2196,1297.0,1187.0,1001.0
46,2298,1425.0,1353.0,1277.0
47,2864,1755.0,1455.0,1342.0
48,2726,1617.0,1492.0,1361.0
49,3558,2019.0,1727.0,1461.0
50,2532,1546.0,1402.0,1323.0
51,3406,1984.0,1731.0,1520.0
52,2964,1699.0,1411.0,1439.0
53,2456,1461.0,1263.0,1180.0
54,2126,1313.0,1227.0,1087.0
55,1976,1244.0,1131.0,1003.0
56,3720,2179.0,1826.0,1697.0
57,2850,1661.0,1394.0,1141.0
58,2194,1430.0,1213.0,1114.0
59,2772,1660.0,1427.0,1294.0
60,2862,1643.0,1443.0,1352.0
61,3002,1765.0,1464.0,1353.0
62,3078,1890.0,1535.0,1445.0
63,3116,1810.0,1362.0,1369.0
64,1906,1131.0,1072.0,1011.0
65,2820,1715.0,1459.0,1350.0
66,2598,1584.0,1430.0,1184.0
67,1976,1191.0,1087.0,1049.0
68,2598,1594.0,1383.0,1222.0
69,2362,1401.0,1324.0,1204.0
70,2508,1546.0,1282.0,1154.0
71,2508,1531.0,1342.0,1201.0
72,2110,1325.0,1105.0,1036.0
73,2756,1593.0,1367.0,1223.0
74,2158,1281.0,1259.0,1063.0
75,2794,1631.0,1479.0,1233.0
76,2894,1697.0,1544.0,1437.0
77,2298,1421.0,1246.0,1205.0
78,2182,1368.0,1257.0,1124.0
79,3468,1970.0,1783.0,1537.0
80,2312,1415.0,1291.0,1226.0
81,2462,1489.0,1352.0,1264.0
82,2730,1648.0,1467.0,1410.0
83,2802,1703.0,1458.0,1417.0
84,2514,1554.0,1406.0,1293.0
85,2432,1440.0,1363.0,1267.0
86,2310,1418.0,1150.0,1046.0
87,2840,1659.0,1537.0,1325.0
88,2244,1367.0,1164.0,1044.0
89,2492,1491.0,1328.0,1184.0
90,3036,1797.0,1544.0,1233.0
91,2620,1603.0,1454.0,1333.0
92,2348,1491.0,1184.0,1193.0
93,2804,1674.0,1458.0,1415.0
94,2090,1243.0,1165.0,1040.0
95,2654,1652.0,1392.0,1290.0
96,3278,1948.0,1718.0,1473.0
97,1862,1123.0,1030.0,960.0
98,1966,1206.0,1076.0,1032.0
99,3660,2108.0,1785.0,1667.0
