,capacity_1,capacity_2,capacity_3,capacity_4
0,3288.0,1957.0,1737.0,1658.0
1,2686.0,1623.0,1484.0,1436.0
2,3080.0,1800.0,1593.0,1444.0
3,3104.0,1854.0,1562.0,1535.0
4,3576.0,2099.0,1861.0,1633.0
5,3132.0,1819.0,1649.0,1517.0
6,3618.0,2113.0,1859.0,1657.0
7,3108.0,1869.0,1721.0,1656.0
8,3506.0,2047.0,1871.0,1616.0
9,3488.0,2060.0,1902.0,1766.0
10,3372.0,1997.0,1815.0,1549.0
11,3472.0,2087.0,1766.0,1600.0
12,3560.0,2046.0,1899.0,1689.0
13,3854.0,2225.0,1888.0,1708.0
14,3826.0,2225.0,2021.0,1849.0
15,3264.0,1911.0,1651.0,1589.0
16,3450.0,2026.0,1689.0,1554.0
17,3114.0,1808.0,1718.0,1628.0
18,3482.0,2070.0,1763.0,1600.0
19,3132.0,1871.0,1716.0,1558.0
20,2888.0,1759.0,1668.0,1526.0
21,3390.0,2045.0,1803.0,1657.0
22,3132.0,1935.0,1659.0,1488.0
23,3746.0,2168.0,1811.0,1764.0
24,3290.0,1982.0,1766.0,1561.0
25,2780.0,1678.0,1467.0,1359.0
26,3636.0,2125.0,1902.0,1715.0
27,3678.0,2122.0,1882.0,1679.0
28,3244.0,1956.0,1720.0,1606.0
29,3306.0,1988.0,1778.0,1623.0
30,3712.0,2158.0,1936.0,1699.0
31,3260.0,1903.0,1619.0,1466.0
32,3470.0,2051.0,1790.0,1628.0
33,3636.0,2121.0,1601.0,1455.0
34,3716.0,2162.0,1888.0,1631.0
35,2886.0,1797.0,1603.0,1516.0
36,3294.0,1981.0,1662.0,1474.0
37,3134.0,1889.0,1627.0,1391.0
38,3364.0,2004.0,1736.0,1572.0
39,3222.0,1839.0,1633.0,1505.0
40,4222.0,2452.0,2113.0,1999.0
41,3704.0,2137.0,1832.0,1689.0
42,2980.0,1747.0,1577.0,1479.0
43,3332.0,2005.0,1802.0,1580.0
44,2872.0,1767.0,1525.0,1502.0
45,3506.0,2072.0,1670.0,1696.0
46,2910.0,1760.0,1678.0,1456.0
47,3368.0,2026.0,1747.0,1724.0
48,3226.0,1909.0,1729.0,1535.0
49,3592.0,2151.0,1785.0,1703.0
50,3220.0,1879.0,1713.0,1520.0
51,3590.0,2154.0,1814.0,1658.0
52,3258.0,1912.0,1807.0,1625.0
53,3286.0,1971.0,1646.0,1539.0
54,3572.0,2085.0,1873.0,1635.0
55,2880.0,1703.0,1487.0,1366.0
56,3326.0,2067.0,1719.0,1642.0
57,3562.0,2081.0,1729.0,1631.0
58,3600.0,2106.0,1782.0,1638.0
59,3690.0,2153.0,1951.0,1763.0
60,3258.0,1886.0,1605.0,1587.0
61,3446.0,2012.0,1702.0,1595.0
62,3754.0,2248.0,1950.0,1765.0
63,2730.0,1616.0,1442.0,1337.0
64,2900.0,1701.0,1620.0,1419.0
65,3558.0,2026.0,1790.0,1582.0
66,3734.0,2231.0,1892.0,1702.0
67,3582.0,2023.0,1821.0,1669.0
68,3312.0,1993.0,1653.0,1517.0
69,3290.0,1963.0,1830.0,1695.0
70,3546.0,2102.0,1790.0,1446.0
71,3316.0,2023.0,1748.0,1622.0
72,3532.0,2102.0,1769.0,1680.0
73,2934.0,1715.0,1562.0,1379.0
74,3068.0,1829.0,1624.0,1482.0
75,3062.0,1876.0,1621.0,1595.0
76,3336.0,1975.0,1668.0,1555.0
77,2672.0,1629.0,1450.0,1302.0
78,2520.0,1490.0,1374.0,1311.0
