scenario,day,negative,positive,recovered,inpatient,died,total,unallocated
0,0,521,0,0,0,0,521,0
0,1,521,0,0,0,0,521,0
0,2,521,0,0,0,0,521,0
0,3,521,0,0,0,0,521,0
0,4,521,0,0,0,0,521,0
0,5,521,0,0,0,0,521,0
0,6,521,0,0,0,0,521,0
0,7,521,0,0,0,0,521,0
0,8,521,0,0,0,0,521,0
0,9,521,0,0,0,0,521,0
0,10,521,0,0,0,0,521,0
0,11,521,0,0,0,0,521,0
0,12,521,0,0,0,0,521,0
0,13,521,0,0,0,0,521,0
0,14,521,0,0,0,0,521,0
0,15,521,0,0,0,0,521,0
0,16,521,0,0,0,0,521,0
0,17,521,0,0,0,0,521,0
0,18,520,1,0,0,0,521,0
0,19,520,1,0,0,0,521,0
0,20,520,1,0,0,0,521,0
0,21,520,1,0,0,0,521,0
0,22,520,1,0,0,0,521,0
0,23,520,1,0,0,0,521,0
0,24,520,1,0,0,0,521,0
0,25,519,2,0,0,0,521,0
0,26,519,2,0,0,0,521,0
0,27,519,2,0,0,0,521,0
0,28,519,2,0,0,0,521,0
0,29,517,4,0,0,0,521,0
0,30,513,8,0,0,0,521,0
0,31,512,8,1,0,0,521,0
0,32,509,11,1,0,0,521,0
0,33,508,11,1,1,0,521,0
0,34,505,12,2,2,0,521,0
0,35,501,15,2,3,0,521,0
0,36,498,15,2,6,0,521,0
0,37,491,22,2,6,0,521,0
0,38,489,21,2,9,0,521,0
0,39,484,22,3,12,0,521,0
0,40,481,23,3,14,0,521,0
0,41,478,24,3,16,0,521,0
0,42,474,25,4,17,1,521,0
0,43,470,25,5,19,2,521,0
0,44,465,27,5,22,2,521,0
0,45,458,31,8,22,2,521,0
0,46,454,33,9,23,2,521,0
0,47,441,43,13,22,2,521,0
0,48,432,49,18,19,3,521,0
0,49,425,52,22,19,3,521,0
0,50,414,56,25,23,3,521,0
0,51,399,66,27,26,3,521,0
0,52,387,72,31,27,4,521,0
0,53,371,81,33,32,4,521,0
0,54,360,80,38,38,5,521,0
0,55,348,86,40,41,6,521,0
0,56,341,86,43,44,7,521,0
0,57,328,89,49,46,9,521,0
0,58,318,87,55,52,9,521,0
0,59,308,79,62,62,10,521,0
0,60,291,85,68,66,11,521,0
0,61,279,88,76,67,11,521,0
0,62,270,88,82,70,11,521,0
0,63,262,83,86,78,12,521,0
0,64,251,81,99,76,14,521,0
0,65,247,72,116,72,14,521,0
0,66,232,79,125,70,15,521,0
0,67,224,77,137,67,16,521,0
0,68,216,74,146,67,18,521,0
0,69,204,78,159,61,19,521,0
0,70,200,71,168,62,20,521,0
0,71,189,76,178,57,21,521,0
0,72,183,74,186,54,24,521,0
0,73,174,71,195,56,25,521,0
0,74,169,65,211,48,28,521,0
0,75,164,58,222,47,30,521,0
0,76,157,55,227,52,30,521,0
0,77,151,52,235,52,31,521,0
0,78,141,51,244,50,35,521,0
0,79,138,47,253,47,36,521,0
0,80,135,46,259,44,37,521,0
0,81,128,46,268,41,38,521,0
0,82,126,42,276,39,38,521,0
0,83,124,36,283,39,39,521,0
0,84,122,31,288,40,40,521,0
0,85,120,25,295,41,40,521,0
0,86,116,22,301,42,40,521,0
0,87,115,21,304,39,42,521,0
0,88,112,17,311,39,42,521,0
0,89,110,16,315,38,42,521,0
0,90,109,14,318,37,43,521,0
0,91,109,11,324,32,45,521,0
0,92,109,9,328,30,45,521,0
0,93,109,6,332,28,46,521,0
0,94,108,5,337,25,46,521,0
0,95,107,6,342,19,47,521,0
0,96,106,6,344,18,47,521,0
0,97,105,7,345,17,47,521,0
0,98,104,7,349,14,47,521,0
0,99,104,7,351,12,47,521,0
0,100,102,6,354,12,47,521,0
0,101,102,5,356,10,48,521,0
0,102,102,4,359,6,50,521,0
0,103,102,3,359,7,50,521,0
0,104,102,2,360,6,51,521,0
0,105,102,2,361,5,51,521,0
0,106,102,1,362,5,51,521,0
0,107,102,1,362,5,51,521,0
0,108,102,0,364,4,51,521,0
0,109,102,0,364,3,52,521,0
0,110,102,0,364,2,53,521,0
0,111,102,0,364,1,54,521,0
0,112,102,0,364,1,54,521,0
0,113,102,0,364,1,54,521,0
0,114,102,0,364,1,54,521,0
0,115,102,0,365,0,54,521,0
0,116,102,0,365,0,54,521,0
0,117,102,0,365,0,54,521,0
0,118,102,0,365,0,54,521,0
0,119,102,0,365,0,54,521,0
