scenario,day,number,add_time_min,add_time_1Q,add_time_median,add_time_3Q,add_time_max,add_time_total
0,0,2,31,31.0,31.0,31.0,31,62
0,1,2,31,31.0,31.0,31.0,31,62
0,2,2,31,31.0,31.0,31.0,31,62
0,3,2,31,31.0,31.0,31.0,31,62
0,4,2,31,31.0,31.0,31.0,31,62
0,5,2,31,31.0,31.0,31.0,31,62
0,6,2,31,31.0,31.0,31.0,31,62
0,7,2,31,31.0,31.0,31.0,31,62
0,8,2,31,31.0,31.0,31.0,31,62
0,9,2,31,31.0,31.0,31.0,31,62
0,10,2,31,31.0,31.0,31.0,31,62
0,11,2,31,31.0,31.0,31.0,31,62
0,12,2,31,31.0,31.0,31.0,31,62
0,13,2,31,31.0,31.0,31.0,31,62
0,14,3,31,31.0,31.0,42.0,53,115
0,15,3,31,31.0,31.0,42.0,53,115
0,16,5,3,31.0,31.0,49.0,53,167
0,17,5,3,31.0,31.0,49.0,53,167
0,18,4,3,24.0,31.0,35.5,49,114
0,19,4,3,24.0,31.0,35.5,49,114
0,20,3,31,31.0,31.0,40.0,49,111
0,21,3,31,31.0,31.0,40.0,49,111
0,22,2,25,31.0,37.0,43.0,49,74
0,23,2,25,31.0,37.0,43.0,49,74
0,24,2,25,31.0,37.0,43.0,49,74
0,25,3,0,12.5,25.0,37.0,49,74
0,26,4,0,18.75,28.0,35.0,47,103
0,27,5,0,9.0,25.0,31.0,47,112
0,28,5,0,9.0,25.0,31.0,47,112
0,29,5,-4,9.0,25.0,31.0,47,108
0,30,6,-4,13.0,28.0,39.25,47,150
0,31,8,-4,6.75,17.5,33.75,47,160
0,32,8,-4,6.75,17.5,33.75,47,160
0,33,8,-4,6.75,17.5,33.75,47,160
0,34,8,-4,7.5,23.5,33.75,47,173
0,35,8,-4,7.5,23.5,33.75,47,173
0,36,7,0,16.0,31.0,39.0,48,189
0,37,7,0,16.0,31.0,39.0,48,189
0,38,10,-5,5.25,22.0,31.0,52,220
0,39,14,-5,19.0,30.5,44.75,58,397
0,40,17,-5,10.0,30.0,48.0,58,451
0,41,22,-5,7.0,20.0,43.25,58,525
0,42,26,-5,10.0,20.0,46.0,58,646
0,43,27,-4,6.0,18.0,46.0,58,623
0,44,32,-3,9.0,21.5,46.0,58,785
0,45,36,-3,6.75,21.5,31.0,54,783
0,46,35,-3,8.5,24.0,31.0,54,785
0,47,35,-3,10.0,24.0,31.0,54,805
0,48,37,-4,13.0,23.0,31.0,54,830
0,49,43,-4,13.0,21.0,31.0,54,963
0,50,51,-45,6.0,20.0,31.0,54,976
0,51,57,-45,6.0,20.0,35.0,54,1143
0,52,58,-45,6.25,19.5,39.25,52,1154
0,53,59,-45,3.0,19.0,29.5,54,1070
0,54,53,-33,3.0,19.0,31.0,54,1002
0,55,56,-33,3.0,19.0,28.75,54,1074
0,56,55,-33,1.0,19.0,34.0,54,1024
0,57,57,-33,0.0,18.0,28.0,58,1027
0,58,60,-33,1.75,17.5,27.25,85,1101
0,59,55,-33,0.0,16.0,27.0,85,860
0,60,56,-33,-0.5,17.0,27.0,85,878
0,61,56,-33,-2.25,13.5,27.0,85,787
0,62,57,-33,-2.0,17.0,27.0,85,918
0,63,56,-33,-2.0,14.5,35.0,85,932
0,64,61,-5,0.0,18.0,31.0,51,1140
0,65,59,-5,-2.0,17.0,33.0,84,1127
0,66,65,-6,-2.0,17.0,34.0,84,1292
0,67,65,-29,-2.0,17.0,37.0,84,1257
0,68,60,-47,-2.0,9.5,35.5,84,1045
0,69,55,-47,-2.0,7.0,32.5,84,923
0,70,55,-47,-3.0,5.0,30.0,84,779
0,71,53,-47,-2.0,5.0,29.0,84,716
0,72,46,-47,-4.0,4.0,16.0,84,426
0,73,46,-47,-2.0,6.0,19.0,84,527
0,74,47,-47,-2.0,6.0,23.5,84,597
0,75,50,-47,-2.0,9.5,23.0,84,653
0,76,45,-47,-2.0,12.0,23.0,84,587
0,77,39,-47,-2.0,14.0,25.0,84,557
0,78,36,-6,9.75,23.5,35.25,54,816
0,79,36,-6,8.5,23.0,35.25,54,803
0,80,35,-5,8.0,23.0,35.0,54,781
0,81,37,-5,9.0,24.0,36.0,54,901
0,82,33,-5,7.0,24.0,36.0,54,768
0,83,29,-5,6.0,24.0,35.0,54,648
0,84,30,-5,5.25,24.0,34.75,54,652
0,85,24,-5,1.75,20.0,29.5,54,437
0,86,22,-5,-3.5,13.0,34.0,54,388
0,87,21,-5,-4.0,15.0,28.0,54,349
0,88,21,-24,-4.0,3.0,26.0,54,277
0,89,18,-24,-3.0,9.0,27.5,54,271
0,90,17,-24,-4.0,3.0,26.0,46,189
0,91,16,-24,-4.0,3.0,25.0,46,162
0,92,13,-5,-3.0,18.0,46.0,50,261
0,93,10,-5,-1.5,16.5,41.5,50,195
0,94,8,-5,-3.0,16.5,46.0,50,164
0,95,7,-5,-3.0,15.0,45.0,50,144
